exchange,cal_date,is_open
SSE,20191114,1
SSE,20191115,1
SSE,20191116,0
SSE,20191117,0
SSE,20191118,1
SSE,20191119,1
SSE,20191120,1
SSE,20191121,1
SSE,20191122,1
SSE,20191123,0
SSE,20191124,0
SSE,20191125,1
SSE,20191126,1
SSE,20191127,1
SSE,20191128,1
SSE,20191129,1
SSE,20191130,0
SSE,20191201,0
SSE,20191202,1
SSE,20191203,1
SSE,20191204,1
SSE,20191205,1
SSE,20191206,1
SSE,20191207,0
SSE,20191208,0
SSE,20191209,1
SSE,20191210,1
SSE,20191211,1
SSE,20191212,1
SSE,20191213,1
SSE,20191214,0
SSE,20191215,0
SSE,20191216,1
SSE,20191217,1
SSE,20191218,1
SSE,20191219,1
SSE,20191220,1
SSE,20191221,0
SSE,20191222,0
SSE,20191223,1
SSE,20191224,1
SSE,20191225,1
SSE,20191226,1
SSE,20191227,1
SSE,20191228,0
SSE,20191229,0
SSE,20191230,1
SSE,20191231,1
SSE,20200101,0
SSE,20200102,1
SSE,20200103,1
SSE,20200104,0
SSE,20200105,0
SSE,20200106,1
SSE,20200107,1
SSE,20200108,1
SSE,20200109,1
SSE,20200110,1
SSE,20200111,0
SSE,20200112,0
SSE,20200113,1
SSE,20200114,1
SSE,20200115,1
SSE,20200116,1
SSE,20200117,1
SSE,20200118,0
SSE,20200119,0
SSE,20200120,1
SSE,20200121,1
SSE,20200122,1
SSE,20200123,1
SSE,20200124,0
SSE,20200125,0
SSE,20200126,0
SSE,20200127,0
SSE,20200128,0
SSE,20200129,0
SSE,20200130,0
SSE,20200131,0
SSE,20200201,0
SSE,20200202,0
SSE,20200203,1
SSE,20200204,1
SSE,20200205,1
SSE,20200206,1
SSE,20200207,1
SSE,20200208,0
SSE,20200209,0
SSE,20200210,1
SSE,20200211,1
SSE,20200212,1
SSE,20200213,1
SSE,20200214,1
SSE,20200215,0
SSE,20200216,0
SSE,20200217,1
SSE,20200218,1
SSE,20200219,1
SSE,20200220,1
SSE,20200221,1
SSE,20200222,0
SSE,20200223,0
SSE,20200224,1
SSE,20200225,1
SSE,20200226,1
SSE,20200227,1
SSE,20200228,1
SSE,20200229,0
SSE,20200301,0
SSE,20200302,1
SSE,20200303,1
SSE,20200304,1
SSE,20200305,1
SSE,20200306,1
SSE,20200307,0
SSE,20200308,0
SSE,20200309,1
SSE,20200310,1
SSE,20200311,1
SSE,20200312,1
SSE,20200313,1
SSE,20200314,0
SSE,20200315,0
SSE,20200316,1
SSE,20200317,1
SSE,20200318,1
SSE,20200319,1
SSE,20200320,1
SSE,20200321,0
SSE,20200322,0
SSE,20200323,1
SSE,20200324,1
SSE,20200325,1
SSE,20200326,1
SSE,20200327,1
SSE,20200328,0
SSE,20200329,0
SSE,20200330,1
SSE,20200331,1
SSE,20200401,1
SSE,20200402,1
SSE,20200403,1
SSE,20200404,0
SSE,20200405,0
SSE,20200406,0
SSE,20200407,1
SSE,20200408,1
SSE,20200409,1
SSE,20200410,1
SSE,20200411,0
SSE,20200412,0
SSE,20200413,1
SSE,20200414,1
SSE,20200415,1
SSE,20200416,1
SSE,20200417,1
SSE,20200418,0
SSE,20200419,0
SSE,20200420,1
SSE,20200421,1
SSE,20200422,1
SSE,20200423,1
SSE,20200424,1
SSE,20200425,0
SSE,20200426,0
SSE,20200427,1
SSE,20200428,1
SSE,20200429,1
SSE,20200430,1
SSE,20200501,0
SSE,20200502,0
SSE,20200503,0
SSE,20200504,0
SSE,20200505,0
SSE,20200506,1
SSE,20200507,1
SSE,20200508,1
SSE,20200509,0
SSE,20200510,0
SSE,20200511,1
SSE,20200512,1
SSE,20200513,1
SSE,20200514,1
SSE,20200515,1
SSE,20200516,0
SSE,20200517,0
SSE,20200518,1
SSE,20200519,1
SSE,20200520,1
SSE,20200521,1
SSE,20200522,1
SSE,20200523,0
SSE,20200524,0
SSE,20200525,1
SSE,20200526,1
SSE,20200527,1
SSE,20200528,1
SSE,20200529,1
SSE,20200530,0
SSE,20200531,0
SSE,20200601,1
SSE,20200602,1
SSE,20200603,1
SSE,20200604,1
SSE,20200605,1
SSE,20200606,0
SSE,20200607,0
SSE,20200608,1
SSE,20200609,1
SSE,20200610,1
SSE,20200611,1
SSE,20200612,1
SSE,20200613,0
SSE,20200614,0
SSE,20200615,1
SSE,20200616,1
SSE,20200617,1
SSE,20200618,1
SSE,20200619,1
SSE,20200620,0
SSE,20200621,0
SSE,20200622,1
SSE,20200623,1
SSE,20200624,1
SSE,20200625,0
SSE,20200626,0
SSE,20200627,0
SSE,20200628,0
SSE,20200629,1
SSE,20200630,1
SSE,20200701,1
SSE,20200702,1
SSE,20200703,1
SSE,20200704,0
SSE,20200705,0
SSE,20200706,1
SSE,20200707,1
SSE,20200708,1
SSE,20200709,1
SSE,20200710,1
SSE,20200711,0
SSE,20200712,0
SSE,20200713,1
SSE,20200714,1
SSE,20200715,1
SSE,20200716,1
SSE,20200717,1
SSE,20200718,0
SSE,20200719,0
SSE,20200720,1
SSE,20200721,1
SSE,20200722,1
SSE,20200723,1
SSE,20200724,1
SSE,20200725,0
SSE,20200726,0
SSE,20200727,1
SSE,20200728,1
SSE,20200729,1
SSE,20200730,1
SSE,20200731,1
SSE,20200801,0
SSE,20200802,0
SSE,20200803,1
SSE,20200804,1
SSE,20200805,1
SSE,20200806,1
SSE,20200807,1
SSE,20200808,0
SSE,20200809,0
SSE,20200810,1
SSE,20200811,1
SSE,20200812,1
SSE,20200813,1
SSE,20200814,1
SSE,20200815,0
SSE,20200816,0
SSE,20200817,1
SSE,20200818,1
SSE,20200819,1
SSE,20200820,1
SSE,20200821,1
SSE,20200822,0
SSE,20200823,0
SSE,20200824,1
SSE,20200825,1
SSE,20200826,1
SSE,20200827,1
SSE,20200828,1
SSE,20200829,0
SSE,20200830,0
SSE,20200831,1
SSE,20200901,1
SSE,20200902,1
SSE,20200903,1
SSE,20200904,1
SSE,20200905,0
SSE,20200906,0
SSE,20200907,1
SSE,20200908,1
SSE,20200909,1
SSE,20200910,1
SSE,20200911,1
SSE,20200912,0
SSE,20200913,0
SSE,20200914,1
SSE,20200915,1
SSE,20200916,1
SSE,20200917,1
SSE,20200918,1
SSE,20200919,0
SSE,20200920,0
SSE,20200921,1
SSE,20200922,1
SSE,20200923,1
SSE,20200924,1
SSE,20200925,1
SSE,20200926,0
SSE,20200927,0
SSE,20200928,1
SSE,20200929,1
SSE,20200930,1
SSE,20201001,0
SSE,20201002,0
SSE,20201003,0
SSE,20201004,0
SSE,20201005,0
SSE,20201006,0
SSE,20201007,0
SSE,20201008,0
SSE,20201009,1
SSE,20201010,0
SSE,20201011,0
SSE,20201012,1
SSE,20201013,1
SSE,20201014,1
SSE,20201015,1
SSE,20201016,1
SSE,20201017,0
SSE,20201018,0
SSE,20201019,1
SSE,20201020,1
SSE,20201021,1
SSE,20201022,1
SSE,20201023,1
SSE,20201024,0
SSE,20201025,0
SSE,20201026,1
SSE,20201027,1
SSE,20201028,1
SSE,20201029,1
SSE,20201030,1
SSE,20201031,0
SSE,20201101,0
SSE,20201102,1
SSE,20201103,1
SSE,20201104,1
SSE,20201105,1
SSE,20201106,1
SSE,20201107,0
SSE,20201108,0
SSE,20201109,1
SSE,20201110,1
SSE,20201111,1
SSE,20201112,1
SSE,20201113,1
SSE,20201114,0
SSE,20201115,0
SSE,20201116,1
SSE,20201117,1
SSE,20201118,1
SSE,20201119,1
SSE,20201120,1
SSE,20201121,0
SSE,20201122,0
SSE,20201123,1
SSE,20201124,1
SSE,20201125,1
SSE,20201126,1
SSE,20201127,1
SSE,20201128,0
SSE,20201129,0
SSE,20201130,1
SSE,20201201,1
SSE,20201202,1
SSE,20201203,1
SSE,20201204,1
SSE,20201205,0
SSE,20201206,0
SSE,20201207,1
SSE,20201208,1
SSE,20201209,1
SSE,20201210,1
SSE,20201211,1
SSE,20201212,0
SSE,20201213,0
SSE,20201214,1
SSE,20201215,1
SSE,20201216,1
SSE,20201217,1
SSE,20201218,1
SSE,20201219,0
SSE,20201220,0
SSE,20201221,1
SSE,20201222,1
SSE,20201223,1
SSE,20201224,1
SSE,20201225,1
SSE,20201226,0
SSE,20201227,0
SSE,20201228,1
SSE,20201229,1
SSE,20201230,1
SSE,20201231,1
SSE,20210101,0
SSE,20210102,0
SSE,20210103,0
SSE,20210104,1
SSE,20210105,1
SSE,20210106,1
SSE,20210107,1
SSE,20210108,1
SSE,20210109,0
SSE,20210110,0
SSE,20210111,1
SSE,20210112,1
SSE,20210113,1
